Workload,Work-life Balance,Job Satisfaction,Interpersonal Relationships,Job Security,Recognition and Appreciation,Coping Mechanisms,Physical Symptoms,Mental Fatigue,Job Future,Stress Level
Neutral,Always,Dissatisfied,Very Positive,Very Insecure,Sometimes,Often,Sometimes,Sometimes,Pessimistic,Moderate
Very Manageable,Never,Very Dissatisfied,Generally Negative,Insecure,Never,Rarely,Always,Sometimes,Very Optimistic,Moderate
Extremely Overwhelming,Never,Very Dissatisfied,Very Negative,Insecure,Always,Often,Sometimes,Rarely,Optimistic,Moderate
Manageable,Never,Dissatisfied,Generally Negative,Very Insecure,Often,Never,Rarely,Never,Neutral,Mild
Extremely Overwhelming,Never,Dissatisfied,Neutral,Very Secure,Often,Never,Never,Always,Neutral,Mild
Neutral,Never,Neutral,Generally Negative,Very Insecure,Sometimes,Rarely,Rarely,Always,Very Pessimistic,Moderate
Very Manageable,Rarely,Dissatisfied,Generally Negative,Insecure,Always,Rarely,Often,Rarely,Very Pessimistic,Mild
Manageable,Never,Neutral,Generally Negative,Insecure,Sometimes,Sometimes,Often,Never,Very Pessimistic,Mild
Manageable,Sometimes,Neutral,Generally Positive,Very Insecure,Never,Always,Always,Often,Neutral,Moderate
Extremely Overwhelming,Always,Very Satisfied,Very Negative,Very Insecure,Rarely,Often,Rarely,Always,Very Pessimistic,Severe
Extremely Overwhelming,Sometimes,Very Dissatisfied,Generally Positive,Very Insecure,Sometimes,Sometimes,Always,Never,Very Optimistic,Moderate
Very Manageable,Rarely,Dissatisfied,Neutral,Very Secure,Rarely,Never,Sometimes,Rarely,Very Optimistic,Mild
Manageable,Rarely,Neutral,Neutral,Insecure,Sometimes,Sometimes,Often,Never,Optimistic,Mild
Overwhelming,Always,Neutral,Generally Positive,Insecure,Often,Rarely,Always,Rarely,Neutral,Moderate
Very Manageable,Sometimes,Neutral,Very Positive,Very Secure,Often,Never,Often,Sometimes,Pessimistic,Mild
Manageable,Always,Very Satisfied,Neutral,Insecure,Always,Rarely,Never,Often,Very Optimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Very Negative,Neutral,Often,Sometimes,Sometimes,Always,Pessimistic,Moderate
Overwhelming,Always,Very Satisfied,Very Positive,Very Insecure,Never,Rarely,Rarely,Rarely,Very Optimistic,Mild
Neutral,Never,Satisfied,Very Negative,Secure,Sometimes,Rarely,Always,Often,Very Optimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Neutral,Secure,Sometimes,Often,Sometimes,Never,Neutral,Mild
Very Manageable,Never,Very Satisfied,Neutral,Very Insecure,Sometimes,Always,Always,Rarely,Very Optimistic,Mild
Manageable,Always,Very Dissatisfied,Very Negative,Very Insecure,Never,Rarely,Rarely,Never,Optimistic,Moderate
Overwhelming,Sometimes,Neutral,Generally Positive,Insecure,Never,Always,Sometimes,Rarely,Optimistic,Moderate
Manageable,Sometimes,Very Satisfied,Very Negative,Very Insecure,Often,Often,Often,Often,Very Optimistic,Moderate
Extremely Overwhelming,Never,Very Satisfied,Very Negative,Neutral,Always,Always,Always,Sometimes,Very Pessimistic,Moderate
Overwhelming,Rarely,Very Dissatisfied,Very Positive,Very Insecure,Rarely,Always,Often,Often,Neutral,Moderate
Extremely Overwhelming,Rarely,Satisfied,Generally Positive,Secure,Often,Never,Rarely,Never,Optimistic,Mild
Manageable,Always,Very Dissatisfied,Very Negative,Secure,Often,Sometimes,Never,Often,Very Optimistic,Mild
Manageable,Rarely,Very Dissatisfied,Very Negative,Insecure,Always,Rarely,Sometimes,Always,Very Pessimistic,Moderate
Neutral,Never,Very Satisfied,Neutral,Very Secure,Rarely,Often,Sometimes,Sometimes,Pessimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Generally Negative,Very Secure,Always,Sometimes,Rarely,Sometimes,Very Optimistic,Mild
Very Manageable,Rarely,Very Dissatisfied,Very Negative,Neutral,Sometimes,Always,Never,Sometimes,Optimistic,Mild
Very Manageable,Never,Satisfied,Generally Negative,Neutral,Often,Often,Never,Sometimes,Optimistic,Mild
